video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Q-t_3Vc04d8&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@urban-living,Seattle & Bellevue Real Estate by Urban Living,Why Is Everyone Leaving Seattle: What Buyers and Sellers Need to Know,11K,4 months,Download Our FREE Relocation Guide Here!✓ https://bit.ly/ReloPDF ➡️ Our Seattle New Condo Guide: https://bit.ly/4hl8TzB ...,2026-01-22 01:43:49.950266
/watch?v=qg52xr9qjmg&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@ShaniKalua,shani kalua,"SEATTLE APARTMENT HUNTING | touring 10 units in downtown seattle ft/ rent prices, budget, & tips",26K,6 months,"From high-rise city views to cozy modern finishes, I'm exploring the real cost of living in Seattle as a 20-something trying to find the ...",2026-01-22 01:43:49.952099
/watch?v=XyC-ZnJaen8&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,"Best Places To Live Near Seattle, Washington & How To Find Them",6K,5 years,"Are you considering a move to the Seattle area and you're wondering where you should live, in this video I am breaking down the ...",2026-01-22 01:43:49.954220
/watch?v=GYYZV1Yk21Q&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@KaraandNate,Kara and Nate,LIVING ON A HOUSEBOAT IN SEATTLE (tiny home tour),1.2M,5 years,"What's it like to live on a houseboat in Seattle?! ✈️ @DailyDrop is our FREE travel newsletter! Get all the best travel news, tips, ...",2026-01-22 01:43:49.958243
/watch?v=HII9UbOsuxg&t=616s&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@MonicaChurch,Monica Church,"The Best Cities To Move To In 2022: Seattle VS. Austin, Texas",573K,3 years,SUBSCRIBE for more: http://goo.gl/LPWD04 How To Find A Real Estate Agent: https://rb.gy/ar7th3 Keith's Austin Real Estate ...,2026-01-22 01:43:49.960396
/watch?v=AkzWmJZm0lc&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@gabbbyle,Gabby Le,"Living Alone in Seattle: running a 10k, 9-5 life, Youtube event, art show & vintage shopping",28K,9 months,"Come with me on a fun weekend around Seattle! Running the Cherry Blossom 10k, trying new pilates studios, opening up about ...",2026-01-22 01:43:49.963201
/shorts/91O00hUqSKY,/@vmhometeamwa,VM Home Team | WA Real Estate,WHY Seattle Has such a HIGH Cost of Living #livinginseattle #seattlerealestate,3.7K,2 years,BOOK A BUYER/SELLER CONSULTATION: https://calendly.com/vaynajerabek ⭐️ VISIT US https://mjreseattle.com/,2026-01-22 01:43:49.964462
/watch?v=nGnR5zKHw1o&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@gabbbyle,Gabby Le,"Living Alone in Seattle: loft updates, cherry blossoms, & matcha pop-up",14K,9 months,join me running around Seattle prepping to travel and going to creator events! Join the Patreon Community!,2026-01-22 01:43:49.968022
/watch?v=M6QUjxfLYcM&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@monicachurchrealtor,Monica Church Seattle Real Estate,What It's Like Living In Downtown Seattle & Working At Pike Place Market +(a hidden condo for sale!),95K,1 year,Looking to buy or sell in and around Downtown Seattle? Head to: https://monicachurchrealestate.com/ or email: ...,2026-01-22 01:43:49.969263
/watch?v=JzUBllhsYng&pp=ygURTGl2aW5nIGluIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@urban-living,Seattle & Bellevue Real Estate by Urban Living,Where do Seattle's Ultra Wealthy Live?,186K,6 months,Download Our FREE Relocation Guide Here!✓ https://bit.ly/ReloPDF ➡️ See Eastside waterfront homes for sale: ...,2026-01-22 01:43:49.972014
/shorts/RWPyYBiXuDA,/@DavidCGreenfield,David Greenfield,Can You Afford to Live in Seattle?! #washington #seattle #costofliving #states #finance,4.9K,2 years,"Can You Afford to Live and Save In Seattle, Washington?! In this video, we discuss the amount you need to make to live ...",2026-01-22 01:43:49.975475
/watch?v=T29ZZXAe-Jg&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@Doyindoccom,Doyindoccom,What It’s REALLY Like Living in Seattle! (5-Year Honest Review),1.2K,9 months,"Hi friend, after living in different parts of the Seattle area for 5 years, I'm here to share my journey and the insights I've gained ...",2026-01-22 01:43:49.976666
/shorts/ALaeGo6f4XE,/@WhereTheLocalsRoam,Where The Locals Roam - 4K Walks,☔️Rainy Days in Seattle #seattle #washington #pnw,72K,3 years,pacificnorthwest #rain #seattle.,2026-01-22 01:43:49.977879
/watch?v=LZ00syppUVg&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,Cost Of Living In Seattle Washington | My Personal Expenses Breakdown,4.8K,3 years,"Cost Of Living In Seattle Washington - In this video, I am breaking down what it really costs to live in the Seattle area.",2026-01-22 01:43:49.979621
